"Artist.Name","Rank","Previous.Rank","Weeks.on.Chart","Views","Weekly.Growth","week","Country","X","isUkraine","sum"
"KAZKA",23,25,80,1276881,"-1.8%",2019-05-09,"Україна","","ua",45
"KAZKA",17,10,74,1480833,"-13.7%",2019-03-28,"Україна","","ua",45
"KAZKA",10,11,73,1715120,"-5.4%",2019-03-21,"Україна","","ua",45
"KAZKA",23,26,78,1240997,"2.7%",2019-04-25,"Україна","","ua",45
"KAZKA",35,32,101,906225,"-0.3%",2019-10-03,"Україна","","ua",45
"KAZKA",33,34,84,891993,"-7.8%",2019-06-06,"Україна","","ua",45
"KAZKA",6,4,69,2965581,"-1%",2019-02-21,"Україна","","ua",45
"KAZKA",30,29,97,917904,"-6.4%",2019-09-05,"Україна","","ua",45
"KAZKA",28,27,91,1026768,"-9.6%",2019-07-25,"Україна","","ua",45
"KAZKA",30,24,95,997014,"-20.1%",2019-08-22,"Україна","","ua",45
"KAZKA",32,33,85,954824,"7%",2019-06-13,"Україна","","ua",45
"KAZKA",36,37,99,868339,"4.1%",2019-09-19,"Україна","","ua",45
"KAZKA",47,43,105,819557,"4%",2019-10-31,"Україна","","ua",45
"KAZKA",32,36,100,908657,"4.6%",2019-09-26,"Україна","","ua",45
"KAZKA",44,42,103,795949,"-0.7%",2019-10-17,"Україна","","ua",45
"KAZKA",20,17,88,1376504,"-10.4%",2019-07-04,"Україна","","ua",45
"KAZKA",4,2,65,2467184,"-16.4%",2019-01-24,"Україна","","ua",45
"KAZKA",3,1,63,2885324,"-33.1%",2019-01-10,"Україна","","ua",45
"KAZKA",9,6,71,2117435,"-15.9%",2019-03-07,"Україна","","ua",45
"KAZKA",29,27,82,1016727,"-7.9%",2019-05-23,"Україна","","ua",45
"KAZKA",25,23,79,1300149,"4.8%",2019-05-02,"Україна","","ua",45
"KAZKA",10,5,67,2251536,"2.6%",2019-02-07,"Україна","","ua",45
"KAZKA",25,22,76,1342314,"-4.1%",2019-04-11,"Україна","","ua",45
"KAZKA",50,47,106,752719,"-8.2%",2019-11-07,"Україна","","ua",45
"KAZKA",26,25,77,1208788,"-9.9%",2019-04-18,"Україна","","ua",45
"KAZKA",34,29,83,967851,"-4.8%",2019-05-30,"Україна","","ua",45
"KAZKA",5,4,66,2195109,"-11%",2019-01-31,"Україна","","ua",45
"KAZKA",29,30,96,980915,"-1.6%",2019-08-29,"Україна","","ua",45
"KAZKA",35,34,93,934577,"1.3%",2019-08-08,"Україна","","ua",45
"KAZKA",42,35,102,801382,"-11.6%",2019-10-10,"Україна","","ua",45
"KAZKA",37,30,98,834239,"-9.1%",2019-09-12,"Україна","","ua",45
"KAZKA",27,25,90,1135729,"-3.6%",2019-07-18,"Україна","","ua",45
"KAZKA",11,9,72,1812269,"-14.4%",2019-03-14,"Україна","","ua",45
"KAZKA",6,6,70,2518659,"-15.1%",2019-02-28,"Україна","","ua",45
"KAZKA",34,28,92,922791,"-10.1%",2019-08-01,"Україна","","ua",45
"KAZKA",25,20,89,1178718,"-14.4%",2019-07-11,"Україна","","ua",45
"KAZKA",9,32,86,2294668,"140.3%",2019-06-20,"Україна","","ua",45
"KAZKA",22,17,75,1399242,"-5.5%",2019-04-04,"Україна","","ua",45
"KAZKA",24,35,94,1248547,"33.6%",2019-08-15,"Україна","","ua",45
"KAZKA",17,9,87,1536022,"-33.1%",2019-06-27,"Україна","","ua",45
"KAZKA",4,10,68,2995206,"33%",2019-02-14,"Україна","","ua",45
"KAZKA",43,44,104,788388,"-0.9%",2019-10-24,"Україна","","ua",45
"KAZKA",2,3,64,2952619,"2.3%",2019-01-17,"Україна","","ua",45
"KAZKA",27,23,81,1103652,"-13.6%",2019-05-16,"Україна","","ua",45
"LOBODA",16,14,147,1540627,"-1.3%",2019-07-11,"Україна","","ua",45
"LOBODA",14,16,146,1560384,"-1.8%",2019-07-04,"Україна","","ua",45
"LOBODA",12,5,137,2032040,"-19.4%",2019-05-02,"Україна","","ua",45
"LOBODA",16,12,124,1551428,"-11.8%",2019-01-31,"Україна","","ua",45
"LOBODA",5,20,136,2520944,"60.8%",2019-04-25,"Україна","","ua",45
"LOBODA",18,22,158,1425962,"10.9%",2019-09-26,"Україна","","ua",45
"LOBODA",15,11,140,1657620,"-8.5%",2019-05-23,"Україна","","ua",45
"LOBODA",12,10,123,1759089,"0.5%",2019-01-24,"Україна","","ua",45
"LOBODA",19,22,156,1414773,"14.8%",2019-09-12,"Україна","","ua",45
"LOBODA",18,20,164,1369878,"-1.8%",2019-11-07,"Україна","","ua",45
"LOBODA",12,12,130,1696277,"-0.3%",2019-03-14,"Україна","","ua",45
"LOBODA",16,16,148,1542472,"0.1%",2019-07-18,"Україна","","ua",45
"LOBODA",9,10,120,2114868,"13.1%",2019-01-03,"Україна","","ua",45
"LOBODA",17,17,162,1300319,"0.3%",2019-10-24,"Україна","","ua",45
"LOBODA",22,16,149,1308855,"-15.1%",2019-07-25,"Україна","","ua",45
"LOBODA",20,22,150,1305725,"-0.2%",2019-08-01,"Україна","","ua",45
"LOBODA",14,15,134,1799816,"6.2%",2019-04-11,"Україна","","ua",45
"LOBODA",17,19,161,1297046,"-1.6%",2019-10-17,"Україна","","ua",45
"LOBODA",17,15,141,1643518,"-0.9%",2019-05-30,"Україна","","ua",45
"LOBODA",9,12,138,2032824,"0%",2019-05-09,"Україна","","ua",45
"LOBODA",22,21,155,1232199,"-2.8%",2019-09-05,"Україна","","ua",45
"LOBODA",20,14,135,1567789,"-12.9%",2019-04-18,"Україна","","ua",45
"LOBODA",22,20,153,1286264,"-3.5%",2019-08-22,"Україна","","ua",45
"LOBODA",18,16,125,1639105,"5.7%",2019-02-07,"Україна","","ua",45
"LOBODA",10,9,121,1704583,"-19.4%",2019-01-10,"Україна","","ua",45
"LOBODA",10,10,127,2079599,"-3.7%",2019-02-21,"Україна","","ua",45
"LOBODA",12,13,129,1701292,"-0.9%",2019-03-07,"Україна","","ua",45
"LOBODA",19,19,160,1318138,"-7.8%",2019-10-10,"Україна","","ua",45
"LOBODA",11,9,139,1811295,"-10.9%",2019-05-16,"Україна","","ua",45
"LOBODA",20,15,132,1430338,"-6.7%",2019-03-28,"Україна","","ua",45
"LOBODA",20,17,163,1394827,"7.3%",2019-10-31,"Україна","","ua",45
"LOBODA",16,17,142,1604053,"-2.4%",2019-06-06,"Україна","","ua",45
"LOBODA",19,18,159,1429970,"0.3%",2019-10-03,"Україна","","ua",45
"LOBODA",22,19,157,1285919,"-9.1%",2019-09-19,"Україна","","ua",45
"LOBODA",21,22,154,1267988,"-1.4%",2019-08-29,"Україна","","ua",45
"LOBODA",10,18,126,2160576,"31.8%",2019-02-14,"Україна","","ua",45
"LOBODA",20,24,152,1333240,"8.1%",2019-08-15,"Україна","","ua",45
"LOBODA",13,10,128,1717113,"-17.4%",2019-02-28,"Україна","","ua",45
"LOBODA",24,20,151,1233588,"-5.5%",2019-08-08,"Україна","","ua",45
"LOBODA",10,10,122,1749598,"2.6%",2019-01-17,"Україна","","ua",45
"LOBODA",17,5,144,1617066,"-29.6%",2019-06-20,"Україна","","ua",45
"LOBODA",15,12,131,1532953,"-9.6%",2019-03-21,"Україна","","ua",45
"LOBODA",16,17,145,1588885,"-1.7%",2019-06-27,"Україна","","ua",45
"LOBODA",15,20,133,1695060,"18.5%",2019-04-04,"Україна","","ua",45
"LOBODA",5,16,143,2295691,"43.1%",2019-06-13,"Україна","","ua",45
"Mari Kraimbrery",72,56,40,641957,"-7.1%",2019-03-21,"Україна","","ua",12
"Mari Kraimbrery",99,NA,32,532706,"",2019-01-24,"Україна","","ua",12
"Mari Kraimbrery",40,30,37,998363,"-6.2%",2019-02-28,"Україна","","ua",12
"Mari Kraimbrery",62,59,35,698840,"-2%",2019-02-14,"Україна","","ua",12
